===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        1328_cpf_240128_02901.sgf
= Object:      beaconc
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       100
= Min el:      15
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Trim at start: true
= Trim at end:   true
= Sun collision: true
= Sun at start:  false
= Sun at end:    false
= Sun deviation: true
= El deviation: true
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;30696.400000;291.1392;10.2422;;;225.0000;70.0000
60340;30696.500000;291.1395;10.2500;;;225.0000;70.0000
60340;30696.600000;291.1397;10.2578;;;225.0000;70.0000
60340;30696.700000;291.1399;10.2656;;;225.0000;70.0000
60340;30696.800000;291.1402;10.2734;;;225.0000;70.0000
60340;30696.900000;291.1404;10.2813;;;225.0000;70.0000
60340;30697.000000;291.1406;10.2891;;;225.0000;70.0000
60340;30697.100000;291.1409;10.2969;;;225.0000;70.0000
60340;30697.200000;291.1411;10.3047;;;225.0000;70.0000
60340;30697.300000;291.1413;10.3126;;;225.0000;70.0000
60340;30697.400000;291.1416;10.3204;;;225.0000;70.0000
60340;30697.500000;291.1418;10.3283;;;225.0000;70.0000
60340;30697.600000;291.1420;10.3361;;;225.0000;70.0000
60340;30697.700000;291.1423;10.3439;;;225.0000;70.0000
60340;30697.800000;291.1425;10.3518;;;225.0000;70.0000
60340;30697.900000;291.1427;10.3596;;;225.0000;70.0000
60340;30698.000000;291.1430;10.3675;;;225.0000;70.0000
60340;30698.100000;291.1432;10.3753;;;225.0000;70.0000
60340;30698.200000;291.1434;10.3832;;;225.0000;70.0000
60340;30698.300000;291.1437;10.3911;;;225.0000;70.0000
60340;30698.400000;291.1439;10.3989;;;225.0000;70.0000
60340;30698.500000;291.1441;10.4068;;;225.0000;70.0000
60340;30698.600000;291.1443;10.4146;;;225.0000;70.0000
60340;30698.700000;291.1446;10.4225;;;225.0000;70.0000
60340;30698.800000;291.1448;10.4304;;;225.0000;70.0000
60340;30698.900000;291.1450;10.4383;;;225.0000;70.0000
60340;30699.000000;291.1453;10.4461;;;225.0000;70.0000
60340;30699.100000;291.1455;10.4540;;;225.0000;70.0000
60340;30699.200000;291.1457;10.4619;;;225.0000;70.0000
60340;30699.300000;291.1460;10.4698;;;225.0000;70.0000
