===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        41240_cpf_240128_02801.hts
= Object:      jason3NONE
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       1000
= Min el:      15
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Trim at start: false
= Trim at end:   false
= Sun collision: true
= Sun at start:  false
= Sun at end:    false
= Sun deviation: true
= El deviation: false
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;42215.000000;327.8762;15.3302;327.8762;15.3302;164.1370;34.5698
60340;42216.000000;327.8640;15.4105;327.8640;15.4105;164.1417;34.5707
60340;42217.000000;327.8516;15.4910;327.8516;15.4910;164.1464;34.5716
60340;42218.000000;327.8392;15.5717;327.8392;15.5717;164.1511;34.5726
60340;42219.000000;327.8267;15.6527;327.8267;15.6527;164.1558;34.5735
60340;42220.000000;327.8142;15.7338;327.8142;15.7338;164.1605;34.5744
60340;42221.000000;327.8016;15.8151;327.8016;15.8151;164.1652;34.5753
60340;42222.000000;327.7889;15.8966;327.7889;15.8966;164.1699;34.5762
60340;42223.000000;327.7761;15.9783;327.7761;15.9783;164.1746;34.5771
60340;42224.000000;327.7632;16.0603;327.7632;16.0603;164.1793;34.5781
60340;42225.000000;327.7503;16.1424;327.7503;16.1424;164.1840;34.5790
60340;42226.000000;327.7373;16.2248;327.7373;16.2248;164.1887;34.5799
60340;42227.000000;327.7242;16.3073;327.7242;16.3073;164.1934;34.5808
60340;42228.000000;327.7111;16.3901;327.7111;16.3901;164.1981;34.5817
60340;42229.000000;327.6979;16.4731;327.6979;16.4731;164.2028;34.5826
60340;42230.000000;327.6846;16.5563;327.6846;16.5563;164.2074;34.5836
60340;42231.000000;327.6712;16.6397;327.6712;16.6397;164.2121;34.5845
60340;42232.000000;327.6577;16.7234;327.6577;16.7234;164.2168;34.5854
60340;42233.000000;327.6442;16.8072;327.6442;16.8072;164.2215;34.5863
60340;42234.000000;327.6305;16.8913;327.6305;16.8913;164.2262;34.5872
60340;42235.000000;327.6168;16.9756;327.6168;16.9756;164.2309;34.5881
60340;42236.000000;327.6030;17.0601;327.6030;17.0601;164.2356;34.5890
60340;42237.000000;327.5892;17.1448;327.5892;17.1448;164.2403;34.5899
60340;42238.000000;327.5752;17.2298;327.5752;17.2298;164.2450;34.5909
60340;42239.000000;327.5612;17.3150;327.5612;17.3150;164.2497;34.5918
60340;42240.000000;327.5471;17.4004;327.5471;17.4004;164.2544;34.5927
60340;42241.000000;327.5329;17.4860;327.5329;17.4860;164.2591;34.5936
60340;42242.000000;327.5186;17.5718;327.5186;17.5718;164.2638;34.5945
60340;42243.000000;327.5042;17.6579;327.5042;17.6579;164.2685;34.5954
60340;42244.000000;327.4897;17.7442;327.4897;17.7442;164.2732;34.5963
60340;42245.000000;327.4752;17.8308;327.4752;17.8308;164.2779;34.5972
60340;42246.000000;327.4605;17.9176;327.4605;17.9176;164.2826;34.5982
60340;42247.000000;327.4458;18.0046;327.4458;18.0046;164.2873;34.5991
60340;42248.000000;327.4310;18.0918;327.4310;18.0918;164.2920;34.6000
60340;42249.000000;327.4161;18.1793;327.4161;18.1793;164.2967;34.6009
60340;42250.000000;327.4011;18.2670;327.4011;18.2670;164.3014;34.6018
