===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        1328_cpf_240128_02901.sgf
= Object:      beaconc
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       100
= Min el:      15
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Trim at start: true
= Trim at end:   true
= Sun collision: true
= Sun at start:  false
= Sun at end:    true
= Sun deviation: false
= El deviation: false
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;30696.400000;291.1392;10.2422;;;121.3294;10.7132
60340;30696.500000;291.1395;10.2500;;;121.3297;10.7135
60340;30696.600000;291.1397;10.2578;;;121.3299;10.7138
60340;30696.700000;291.1399;10.2656;;;121.3302;10.7141
60340;30696.800000;291.1402;10.2734;;;121.3305;10.7144
60340;30696.900000;291.1404;10.2813;;;121.3308;10.7147
60340;30697.000000;291.1406;10.2891;;;121.3311;10.7150
60340;30697.100000;291.1409;10.2969;;;121.3313;10.7152
60340;30697.200000;291.1411;10.3047;;;121.3316;10.7155
60340;30697.300000;291.1413;10.3126;;;121.3319;10.7158
60340;30697.400000;291.1416;10.3204;;;121.3322;10.7161
60340;30697.500000;291.1418;10.3283;;;121.3325;10.7164
60340;30697.600000;291.1420;10.3361;;;121.3327;10.7167
60340;30697.700000;291.1423;10.3439;;;121.3330;10.7170
60340;30697.800000;291.1425;10.3518;;;121.3333;10.7172
60340;30697.900000;291.1427;10.3596;;;121.3336;10.7175
60340;30698.000000;291.1430;10.3675;;;121.3339;10.7178
60340;30698.100000;291.1432;10.3753;;;121.3341;10.7181
60340;30698.200000;291.1434;10.3832;;;121.3344;10.7184
60340;30698.300000;291.1437;10.3911;;;121.3347;10.7187
60340;30698.400000;291.1439;10.3989;;;121.3350;10.7190
60340;30698.500000;291.1441;10.4068;;;121.3353;10.7192
60340;30698.600000;291.1443;10.4146;;;121.3355;10.7195
60340;30698.700000;291.1446;10.4225;;;121.3358;10.7198
60340;30698.800000;291.1448;10.4304;;;121.3361;10.7201
60340;30698.900000;291.1450;10.4383;;;121.3364;10.7204
60340;30699.000000;291.1453;10.4461;;;121.3367;10.7207
60340;30699.100000;291.1455;10.4540;;;121.3370;10.7210
60340;30699.200000;291.1457;10.4619;;;121.3372;10.7213
60340;30699.300000;291.1460;10.4698;;;121.3375;10.7215
60340;30699.400000;291.1462;10.4777;;;121.3378;10.7218
60340;30699.500000;291.1464;10.4855;;;121.3381;10.7221
60340;30699.600000;291.1467;10.4934;;;121.3384;10.7224
60340;30699.700000;291.1469;10.5013;;;121.3386;10.7227
60340;30699.800000;291.1471;10.5092;;;121.3389;10.7230
60340;30699.900000;291.1474;10.5171;;;121.3392;10.7233
60340;30700.000000;291.1476;10.5250;;;121.3395;10.7235
60340;30700.100000;291.1478;10.5329;;;121.3398;10.7238
60340;30700.200000;291.1481;10.5408;;;121.3400;10.7241
60340;30700.300000;291.1483;10.5487;;;121.3403;10.7244
60340;30700.400000;291.1485;10.5566;;;121.3406;10.7247
60340;30700.500000;291.1488;10.5646;;;121.3409;10.7250
60340;30700.600000;291.1490;10.5725;;;121.3412;10.7253
60340;30700.700000;291.1492;10.5804;;;121.3414;10.7255
60340;30700.800000;291.1495;10.5883;;;121.3417;10.7258
60340;30700.900000;291.1497;10.5962;;;121.3420;10.7261
60340;30701.000000;291.1499;10.6042;;;121.3423;10.7264
60340;30701.100000;291.1501;10.6121;;;121.3426;10.7267
60340;30701.200000;291.1504;10.6200;;;121.3428;10.7270
60340;30701.300000;291.1506;10.6279;;;121.3431;10.7273
60340;30701.400000;291.1508;10.6359;;;121.3434;10.7276
60340;30701.500000;291.1511;10.6438;;;121.3437;10.7278
60340;30701.600000;291.1513;10.6518;;;121.3440;10.7281
60340;30701.700000;291.1515;10.6597;;;121.3442;10.7284
60340;30701.800000;291.1518;10.6676;;;121.3445;10.7287
60340;30701.900000;291.1520;10.6756;;;121.3448;10.7290
60340;30702.000000;291.1522;10.6835;;;121.3451;10.7293
60340;30702.100000;291.1525;10.6915;;;121.3454;10.7296
60340;30702.200000;291.1527;10.6994;;;121.3456;10.7298
60340;30702.300000;291.1529;10.7074;;;121.3459;10.7301
60340;30702.400000;291.1532;10.7154;;;121.3462;10.7304
60340;30702.500000;291.1534;10.7233;;;121.3465;10.7307
60340;30702.600000;291.1536;10.7313;;;121.3468;10.7310
60340;30702.700000;291.1538;10.7392;;;121.3470;10.7313
60340;30702.800000;291.1541;10.7472;;;121.3473;10.7316
60340;30702.900000;291.1543;10.7552;;;121.3476;10.7318
60340;30703.000000;291.1545;10.7632;;;121.3479;10.7321
60340;30703.100000;291.1548;10.7711;;;121.3482;10.7324
60340;30703.200000;291.1550;10.7791;;;121.3484;10.7327
60340;30703.300000;291.1552;10.7871;;;121.3487;10.7330
60340;30703.400000;291.1555;10.7951;;;121.3490;10.7333
60340;30703.500000;291.1557;10.8031;;;121.3493;10.7336
60340;30703.600000;291.1559;10.8111;;;121.3496;10.7339
60340;30703.700000;291.1562;10.8190;;;121.3498;10.7341
60340;30703.800000;291.1564;10.8270;;;121.3501;10.7344
60340;30703.900000;291.1566;10.8350;;;121.3504;10.7347
60340;30704.000000;291.1568;10.8430;;;121.3507;10.7350
60340;30704.100000;291.1571;10.8510;;;121.3510;10.7353
60340;30704.200000;291.1573;10.8590;;;121.3513;10.7356
60340;30704.300000;291.1575;10.8670;;;121.3515;10.7359
60340;30704.400000;291.1578;10.8750;;;121.3518;10.7361
60340;30704.500000;291.1580;10.8831;;;121.3521;10.7364
60340;30704.600000;291.1582;10.8911;;;121.3524;10.7367
60340;30704.700000;291.1585;10.8991;;;121.3527;10.7370
60340;30704.800000;291.1587;10.9071;;;121.3529;10.7373
60340;30704.900000;291.1589;10.9151;;;121.3532;10.7376
60340;30705.000000;291.1591;10.9232;;;121.3535;10.7379
60340;30705.100000;291.1594;10.9312;;;121.3538;10.7381
60340;30705.200000;291.1596;10.9392;;;121.3541;10.7384
60340;30705.300000;291.1598;10.9472;;;121.3543;10.7387
60340;30705.400000;291.1601;10.9553;;;121.3546;10.7390
60340;30705.500000;291.1603;10.9633;;;121.3549;10.7393
60340;30705.600000;291.1605;10.9714;;;121.3552;10.7396
60340;30705.700000;291.1608;10.9794;;;121.3555;10.7399
60340;30705.800000;291.1610;10.9874;;;121.3557;10.7402
60340;30705.900000;291.1612;10.9955;;;121.3560;10.7404
60340;30706.000000;291.1614;11.0035;;;121.3563;10.7407
60340;30706.100000;291.1617;11.0116;;;121.3566;10.7410
60340;30706.200000;291.1619;11.0196;;;121.3569;10.7413
60340;30706.300000;291.1621;11.0277;;;121.3571;10.7416
60340;30706.400000;291.1624;11.0358;;;121.3574;10.7419
60340;30706.500000;291.1626;11.0438;;;121.3577;10.7422
60340;30706.600000;291.1628;11.0519;;;121.3580;10.7424
60340;30706.700000;291.1631;11.0599;;;121.3583;10.7427
60340;30706.800000;291.1633;11.0680;;;121.3585;10.7430
60340;30706.900000;291.1635;11.0761;;;121.3588;10.7433
60340;30707.000000;291.1637;11.0842;;;121.3591;10.7436
60340;30707.100000;291.1640;11.0922;;;121.3594;10.7439
60340;30707.200000;291.1642;11.1003;;;121.3597;10.7442
60340;30707.300000;291.1644;11.1084;;;121.3599;10.7444
60340;30707.400000;291.1647;11.1165;;;121.3602;10.7447
60340;30707.500000;291.1649;11.1246;;;121.3605;10.7450
60340;30707.600000;291.1651;11.1327;;;121.3608;10.7453
60340;30707.700000;291.1653;11.1408;;;121.3611;10.7456
60340;30707.800000;291.1656;11.1489;;;121.3613;10.7459
60340;30707.900000;291.1658;11.1570;;;121.3616;10.7462
60340;30708.000000;291.1660;11.1651;;;121.3619;10.7465
60340;30708.100000;291.1663;11.1732;;;121.3622;10.7467
60340;30708.200000;291.1665;11.1813;;;121.3625;10.7470
60340;30708.300000;291.1667;11.1894;;;121.3627;10.7473
60340;30708.400000;291.1669;11.1975;;;121.3630;10.7476
60340;30708.500000;291.1672;11.2056;;;121.3633;10.7479
60340;30708.600000;291.1674;11.2137;;;121.3636;10.7482
60340;30708.700000;291.1676;11.2218;;;121.3639;10.7485
60340;30708.800000;291.1679;11.2299;;;121.3642;10.7487
60340;30708.900000;291.1681;11.2381;;;121.3644;10.7490
60340;30709.000000;291.1683;11.2462;;;121.3647;10.7493
60340;30709.100000;291.1686;11.2543;;;121.3650;10.7496
60340;30709.200000;291.1688;11.2625;;;121.3653;10.7499
60340;30709.300000;291.1690;11.2706;;;121.3656;10.7502
60340;30709.400000;291.1692;11.2787;;;121.3658;10.7505
60340;30709.500000;291.1695;11.2869;;;121.3661;10.7507
60340;30709.600000;291.1697;11.2950;;;121.3664;10.7510
60340;30709.700000;291.1699;11.3032;;;121.3667;10.7513
60340;30709.800000;291.1701;11.3113;;;121.3670;10.7516
60340;30709.900000;291.1704;11.3194;;;121.3672;10.7519
60340;30710.000000;291.1706;11.3276;;;121.3675;10.7522
60340;30710.100000;291.1708;11.3358;;;121.3678;10.7525
60340;30710.200000;291.1711;11.3439;;;121.3681;10.7528
60340;30710.300000;291.1713;11.3521;;;121.3684;10.7530
60340;30710.400000;291.1715;11.3602;;;121.3686;10.7533
60340;30710.500000;291.1717;11.3684;;;121.3689;10.7536
60340;30710.600000;291.1720;11.3766;;;121.3692;10.7539
60340;30710.700000;291.1722;11.3847;;;121.3695;10.7542
60340;30710.800000;291.1724;11.3929;;;121.3698;10.7545
60340;30710.900000;291.1727;11.4011;;;121.3700;10.7548
60340;30711.000000;291.1729;11.4093;;;121.3703;10.7550
60340;30711.100000;291.1731;11.4174;;;121.3706;10.7553
60340;30711.200000;291.1733;11.4256;;;121.3709;10.7556
60340;30711.300000;291.1736;11.4338;;;121.3712;10.7559
