===============================================================================
= Module: UtilititesSLR   |   Example: TrackingSLR
===============================================================================
= Intputs:
-------------------------------------------------------------------------------
= File:        38077_cpf_240128_02901.sgf
= Object:      lares
= Avoid Sun:   true
= Avoid angle: 15
= Delta:       1000
= Min el:      8
===============================================================================
= Outputs:
-------------------------------------------------------------------------------
= Sun collision: true
= Sun at start:  true
= Sun at end:    false
===============================================================================
mjd;sod;pass_az;pass_el;track_az;track_el;sun_az;sun_el
60340;56821.000000;231.4103;15.7587;;;228.2149;20.1005
60340;56822.000000;231.4651;15.8309;;;228.2182;20.0980
60340;56823.000000;231.5201;15.9033;;;228.2215;20.0956
60340;56824.000000;231.5753;15.9758;;;228.2248;20.0931
60340;56825.000000;231.6307;16.0484;;;228.2281;20.0906
60340;56826.000000;231.6864;16.1212;;;228.2313;20.0881
60340;56827.000000;231.7423;16.1940;;;228.2346;20.0856
60340;56828.000000;231.7983;16.2671;;;228.2379;20.0831
60340;56829.000000;231.8546;16.3402;;;228.2412;20.0806
60340;56830.000000;231.9111;16.4135;;;228.2445;20.0781
60340;56831.000000;231.9679;16.4869;;;228.2478;20.0756
60340;56832.000000;232.0248;16.5604;;;228.2511;20.0731
60340;56833.000000;232.0820;16.6341;;;228.2544;20.0706
60340;56834.000000;232.1393;16.7079;;;228.2577;20.0681
60340;56835.000000;232.1969;16.7819;;;228.2610;20.0656
60340;56836.000000;232.2548;16.8559;;;228.2643;20.0631
60340;56837.000000;232.3128;16.9302;;;228.2676;20.0606
60340;56838.000000;232.3711;17.0045;;;228.2709;20.0581
60340;56839.000000;232.4296;17.0790;;;228.2742;20.0556
60340;56840.000000;232.4884;17.1536;;;228.2775;20.0531
60340;56841.000000;232.5473;17.2283;;;228.2807;20.0506
60340;56842.000000;232.6065;17.3032;;;228.2840;20.0481
60340;56843.000000;232.6660;17.3782;;;228.2873;20.0456
60340;56844.000000;232.7256;17.4534;;;228.2906;20.0431
60340;56845.000000;232.7856;17.5287;;;228.2939;20.0406
60340;56846.000000;232.8457;17.6041;;;228.2972;20.0381
60340;56847.000000;232.9061;17.6797;;;228.3005;20.0356
60340;56848.000000;232.9667;17.7554;;;228.3038;20.0331
60340;56849.000000;233.0276;17.8312;;;228.3071;20.0306
60340;56850.000000;233.0887;17.9072;;;228.3104;20.0281
60340;56851.000000;233.1500;17.9833;;;228.3137;20.0256
60340;56852.000000;233.2116;18.0595;;;228.3170;20.0231
60340;56853.000000;233.2735;18.1359;;;228.3202;20.0206
60340;56854.000000;233.3356;18.2124;;;228.3235;20.0181
60340;56855.000000;233.3979;18.2891;;;228.3268;20.0156
60340;56856.000000;233.4605;18.3659;;;228.3301;20.0131
60340;56857.000000;233.5234;18.4429;;;228.3334;20.0106
60340;56858.000000;233.5865;18.5199;;;228.3367;20.0081
60340;56859.000000;233.6498;18.5972;;;228.3400;20.0056
60340;56860.000000;233.7135;18.6745;;;228.3433;20.0031
60340;56861.000000;233.7774;18.7520;;;228.3466;20.0006
60340;56862.000000;233.8415;18.8297;;;228.3498;19.9981
60340;56863.000000;233.9059;18.9075;;;228.3531;19.9956
60340;56864.000000;233.9706;18.9854;;;228.3564;19.9931
60340;56865.000000;234.0355;19.0635;;;228.3597;19.9906
60340;56866.000000;234.1007;19.1417;;;228.3630;19.9881
60340;56867.000000;234.1662;19.2201;;;228.3663;19.9856
60340;56868.000000;234.2319;19.2986;;;228.3696;19.9831
60340;56869.000000;234.2980;19.3772;;;228.3729;19.9806
60340;56870.000000;234.3643;19.4560;;;228.3761;19.9781
60340;56871.000000;234.4308;19.5349;;;228.3794;19.9756
60340;56872.000000;234.4977;19.6140;;;228.3827;19.9731
60340;56873.000000;234.5648;19.6932;;;228.3860;19.9706
60340;56874.000000;234.6322;19.7726;;;228.3893;19.9681
60340;56875.000000;234.6999;19.8521;;;228.3926;19.9656
60340;56876.000000;234.7679;19.9318;;;228.3959;19.9631
60340;56877.000000;234.8361;20.0116;;;228.3992;19.9606
60340;56878.000000;234.9047;20.0915;;;228.4024;19.9581
60340;56879.000000;234.9735;20.1716;;;228.4057;19.9556
60340;56880.000000;235.0427;20.2519;;;228.4090;19.9531
